Region,Country_code,Country,Year,DDD_per_1000_per_day,Last_Updated
EUROPE,ARM,ARMENIA,2016,9.66,24-09-2025
EUROPE,ARM,ARMENIA,2017,12.39,24-09-2025
EUROPE,ARM,ARMENIA,2018,12.72,24-09-2025
EUROPE,ARM,ARMENIA,2019,11.85,24-09-2025
EUROPE,ARM,ARMENIA,2020,18.27,24-09-2025
EUROPE,ARM,ARMENIA,2021,14.47,24-09-2025
EUROPE,ARM,ARMENIA,2022,9.65,24-09-2025
EUROPE,ARM,ARMENIA,2023,13.88,24-09-2025
EUROPE,AUT,AUSTRIA,2016,11.47,24-09-2025
EUROPE,AUT,AUSTRIA,2017,11.99,24-09-2025
EUROPE,AUT,AUSTRIA,2018,10.77,24-09-2025
EUROPE,AUT,AUSTRIA,2019,12.05,24-09-2025
EUROPE,AUT,AUSTRIA,2020,9.24,24-09-2025
EUROPE,AUT,AUSTRIA,2021,9.27,24-09-2025
EUROPE,AUT,AUSTRIA,2022,10.89,24-09-2025
EUROPE,AUT,AUSTRIA,2023,11.74,24-09-2025
"SOUTH-EAST ASIA",BGD,BANGLADESH,2016,23.81,18-09-2024
"SOUTH-EAST ASIA",BGD,BANGLADESH,2017,20.97,18-09-2024
"SOUTH-EAST ASIA",BGD,BANGLADESH,2018,19.77,18-09-2024
"SOUTH-EAST ASIA",BGD,BANGLADESH,2019,24.32,18-09-2024
"SOUTH-EAST ASIA",BGD,BANGLADESH,2020,24.9,18-09-2024
"SOUTH-EAST ASIA",BGD,BANGLADESH,2021,55.37,18-09-2024
"SOUTH-EAST ASIA",BGD,BANGLADESH,2022,48.92,18-09-2024
"SOUTH-EAST ASIA",BGD,BANGLADESH,2023,32.15,24-09-2025
EUROPE,BLR,BELARUS,2016,17.13,18-09-2024
EUROPE,BLR,BELARUS,2017,20.12,18-09-2024
EUROPE,BLR,BELARUS,2018,19.09,18-09-2024
EUROPE,BLR,BELARUS,2019,22.64,18-09-2024
EUROPE,BLR,BELARUS,2020,25.93,18-09-2024
EUROPE,BLR,BELARUS,2021,19.7,18-09-2024
EUROPE,BLR,BELARUS,2022,16.77,18-09-2024
EUROPE,BLR,BELARUS,2023,20.42,24-09-2025
EUROPE,BEL,BELGIUM,2016,24.31,24-09-2025
EUROPE,BEL,BELGIUM,2017,22.89,24-09-2025
EUROPE,BEL,BELGIUM,2018,22.41,24-09-2025
EUROPE,BEL,BELGIUM,2019,21.51,24-09-2025
EUROPE,BEL,BELGIUM,2020,16.83,24-09-2025
EUROPE,BEL,BELGIUM,2021,17.62,24-09-2025
EUROPE,BEL,BELGIUM,2022,20.68,24-09-2025
EUROPE,BEL,BELGIUM,2023,20.93,24-09-2025
AFRICA,BEN,BENIN,2016,21.93,18-09-2024
AFRICA,BEN,BENIN,2017,27.37,18-09-2024
AFRICA,BEN,BENIN,2018,23.17,18-09-2024
AFRICA,BEN,BENIN,2019,18.09,18-09-2024
AFRICA,BEN,BENIN,2020,14.15,18-09-2024
AFRICA,BEN,BENIN,2021,17.43,18-09-2024
AFRICA,BEN,BENIN,2022,21.82,18-09-2024
